,entity,mark
0,理财时代,0
1,富金利,0
2,小资钱包,1
3,恒丰银行,1
4,国有投资,0
5,资易贷（北京）金融信息服务有限公司,1
6,资易贷,1
7,平安银行,0
8,车主贷,1
9,平安银行车主贷,0
10,旺贷,0
11,旺旺贷,1
12,资金周转,0
13,小额贷,0
14,贷款1,0
15,信贷通,0
16,温州贷,0
17,成都易融时代投资咨询有限公司,0
18,易融贷,0
19,宜贷网,1
20,京东白条,1
21,交通银行,1
22,惠民贷,1
23,北京金领贷,0
24,宜贷网(沪),0
25,摩尔龙,1
26,资易贷金融信息服务有限公司,1
27,易贷金融,1
28,华澳余盆网,1
29,天津金城银行,0
30,余盆网,1
31,亿盛国际,0
32,国际微交易,0
33,微交易,0
34,猜涨跌,0
35,壹佰金,0
36,壹佰金融,1
37,i财富,1
38,深圳前海大福资本管理有限公司,1
39,宜信,0
40,坤吉国际,0
41,e租宝,1
42,福建中天盛宝融资租赁有限公司,1
43,山东谷丰汇扬融资租赁有限公司,1
44,金谷财行,1
45,国商金融,1
46,财管通,1
47,上海易贷网金融信息服务有限公司（宜贷网运营公司）,0
48,借钱网,0
49,微粒贷,1
50,拍拍贷,1
51,新浪微博借钱网,0
52,口贷网,1
53,中国幸福投资公司,1
54,利巨人,1
55,搜狐财经,0
56,金鼎小额贷款公司,1
57,金鼎小额贷款,0
58,花呗,0
59,蚂蚁花呗,0
60,分期乐,0
61,深圳南山,1
62,人人爱家金融,0
63,圣迪雅电子商务有限公司,0
64,江苏圣迪雅日用品有限公司,1
65,现金卡,0
66,返利,0
67,江苏圣迪雅电子商务有限公司,1
68,ppmoney,1
69,paypal,1
70,借呗,0
71,还我钱,0
72,懒财网,1
73,易通贷,1
74,金佳,0
75,黄金佳,1
76,fxcm福汇,1
77,福汇,0
78,联璧金融,1
79,斐讯,1
80,北京银行,1
81,宝支付,0
82,开店宝,0
83,开店宝支付服务有限公司,0
84,????宜湃网,1
85,华夏信财,1
86,钱宝网,1
87,钱宝,1
88,红岭创投,1
89,红岭控股,1
90,qos,1
91,币圈,0
92,鼎治泰达,1
93,圣盈信,1
94,信雅达,0
95,新国都,0
96,拉卡拉,1
97,美项目,0
98,eos,1
99,招财猫理财,0
100,消费金融,0
101,玖富,1
102,赛伯乐绿科,1
103,德威公司,1
104,新余铭沃,1
105,乐投资,0
106,赛伯乐投资,1
107,bc,0
108,fbc,0
109,fbc区块链期货,1
110,区块链期货,0
111,fbc区块链,1
112,电网贷,0
113,中恒通公司,1
114,中恒通(福建)机械制造有限公司,0
115,对中恒通(福建)机械制造有限公司,1
116,利得,0
117,利得行,1
118,联金所,1
119,东方银座,1
120,网贷天眼,0
121,石头理财,1
122,国付,0
123,国付宝,1
124,水滴筹,1
125,水滴互助,1
126,中宝投资,1
127,资金链,0
128,美债所,0
129,上海应文投资管理有限公司,1
130,应文投资,1
131,上金所,0
132,山东招金投资股份有限公司,0
133,米房无忧借条,0
134,合众e贷,1
135,够力金融,0
136,海佛金融,1
137,冠群驰骋,1
138,冠e通,1
139,海象理财,1
140,牛牛bank,0
141,中国银联,0
142,多点金服,1
143,上海网格金服,1
144,网格金服,0
145,青蓝金福,1
146,杭州金碗网络科技有限公司,1
147,青蓝金服,1
148,杭州友米金融服务外包有限公司,1
149,金碗理财,1
150,唐小僧,1
151,上海联璧电子科技（集团）有限公司,1
152,联币钱包,1
153,摩根大通,0
154,中国平安,1
155,中国电信,0
156,超短融兑付,0
157,泽星投资,0
158,苏宁支付,0
159,全球购,0
160,苏宁,0
161,北京正聚源通鼎公司,1
162,京东金融,1
163,大宗商品交易,0
164,安信卓越公司,1
165,安信卓越,0
166,邮储银行江苏省分行,0
167,保险贷,0
168,农业保险贷,0
169,云币网,1
170,云币,0
171,Cadence,0
172,新韩银行,0
173,ShinhanFinancialInvestment,0
174,Directional,0
175,三一重工,0
176,五粮液融资融券,0
177,中国太保富时罗素概念,0
178,中国太保沪股通,0
179,京东方A,0
180,中国人寿,0
181,五粮液,1
182,中国人寿银行,0
183,新华保险,0
184,工商银行,0
185,中国太保,0
186,newdex,1
187,存钱罐,1
188,芝麻信用,0
189,永利宝,1
190,向上金服,0
191,深圳市钱爸爸电子商务有限公司,1
192,钱爸爸,1
193,京东,1
194,白条,0
195,京东商城,0
196,农商银行,0
197,信e贷,0
198,优财网,0
199,泛亚有色金属交易所,1
200,贵金属,0
201,云南天浩稀贵金属股份有限公司,1
202,昆明泛亚有色金属交易所股份有限公司,1
203,昆明泛亚有色,1
204,广西隆盈营销策划有限公司,1
205,隆盈天下,1
206,盈天下,0
207,云联惠,1
208,广西臻怀投资发展有限公司,1
209,广西南宁南振益网络科技有限公司,1
210,坚固环球,1
211,银票网,1
212,佑米金融,1
213,金评媒,0
214,钱先生,0
215,快e贷,0
216,徽商银行,0
217,深圳市高新,0
218,市高新投,0
219,小额贷款有限公司,0
220,深圳市高新投小额贷款有限公司,0
221,高新投,0
222,中国支付通,0
223,????信和大金融,1
224,信和大金融,1
225,理财通,1
226,网易星球,1
227,网易,0
228,五洋建设,1
229,中证网,0
230,P2P理财,0
231,蜂融网,1
232,贷款中心,0
233,个人贷款,0
234,个人贷款中心,0
235,成都易捷金融,1
236,????摩尔龙,1
237,支付宝,0
238,Libra,0
239,微信,0
240,网利宝,1
241,????网利宝,1
242,消费信贷,0
243,三农金服,0
244,金融服务,0
245,合金融,0
246,农金,0
247,高唐农商银行,0
248,搜易贷,0
249,靠谱,0
250,金贝猫,1
251,金贝,0
252,paypa,0
253,亚马逊,0
254,货通天下,0
255,全和悦,0
256,银谷在线,0
257,华赢贷,0
258,东方金钰,0
259,和信贷,1
260,和信,0
261,京东方,0
262,中信证券,0
263,米缸金融,1
264,安心保险,0
265,新金融,0
266,比捷科技,1
267,上海文化产权交易所,1
268,OKCOIN,0
269,火币网,1
270,火币,0
271,比特币,1
272,钱包金融,1
273,信融财富,1
274,禧龙来,1
275,云端金融,0
276,杭州云端金融信息服务有限公司,1
277,拉卡拉支付股份有限公司,0
278,汇聚财富,1
279,聚财富,0
280,汇聚财,0
281,mt4,1
282,悬崖勒马,0
283,金牛座,0
284,北京正聚源通鼎信用管理有限公司,1
285,现金贷,1
286,有脉金控,1
287,网络贷,0
288,蚂蚁金服,0
289,象理财,1
290,顺丰,0
291,云惠富,1
292,期市盈家,0
293,易捷金融,1
294,首家,0
295,康爱公社,0
296,酷盈网,1
297,众邦银行,1
298,甜菜金融,1
299,天丰天财（武汉）金融信息服务有限公司,1
300,北京资易贷金融信息服务有限公司,1
301,金融官网,0
302,小宝金融,1
303,酷旺科,1
304,蝙蝠集团,1
305,国轮财富,1
306,车贷贷,1
307,花生投,1
308,ECLIPX,1
309,????中金汇通,1
310,金汇通,0
311,中金汇通,1
312,钱保姆,1
313,普惠财富,0
314,普惠财富投资管理有限公司,0
315,资易贷（北京）信息金融服务有限公司,1
316,轻扫商户宝,0
317,福建滚雪球,0
318,同耐蹲,0
319,摩尔龙公司,1
320,成都易捷公司,1
321,易借贷,0
322,好易借贷款,0
323,好易借,1
324,易借贷款,0
325,借贷款,0
326,贷超,0
327,中弘,1
328,仟金所,1
329,ic,0
330,融金所,1
331,招商银行,1
332,北向资金,0
333,上海中赢金融信息服务有限公司,1
334,上海玺鉴金融信息服务有限公司,1
335,中赢金融,0
336,柚理财,0
337,京圆柚理财,1
338,青岛开心贷,0
339,开心贷,1
340,青岛开心贷投资管理有限公司,1
341,资易贷(北京)金融信息服务有限公司,1
342,东方融资网,1
343,融资网,0
344,青岛东方融资网,1
345,kci,0
346,区块链项目,0
347,美团外卖,1
348,平安普惠,1
349,i贷,1
350,金盛二元期权,0
351,期权,0
352,二元期权,0
353,美国国际信托投资公司,0
354,香港佳合集团公司,0
355,中国华融资产管理公司,0
356,中国华融,0
357,香港东方娱乐控股公司,0
358,中国华融资产,0
359,鼎金国际,1
360,昆明泛亚有色金属交易所,1
361,我的钱包,0
362,钱包,0
363,好享贷,1
364,长城资管,1
365,聚财猫,1
366,浙商,0
367,浙商e贷,1
368,众托帮,0
369,望洲财富,1
370,望洲财富投资管理有限公司,1
371,苏宁金融,1
372,钱盒子,1
373,360金融,1
374,百度新闻,0
375,联壁金融,1
376,雅堂金融,1
377,普惠家,0
378,魔幻农庄,1
379,借钱,0
380,发隆金融,0
381,愚人贷,0
382,中国软银,1
383,??摩尔龙,1
384,懒财主,1
385,如山汇金,1
386,江南化工,1
387,阳光金服,0
388,盈聚宝,1
389,天盛财富,1
390,华扶金贷,1
391,刚泰集团,1
392,招商贷,1
393,(北京)资易贷金融信息服务有限公司,1
394,人人贷借款,0
395,宜人贷,1
396,同花顺,0
397,悟空理财,1
398,速贷宝,1
399,融360,1
400,新升贷,0
401,石头理财平台,0
402,云回通宝,1
403,头条,0
404,fcoin,1
405,51有钱,1
406,泓樽付,0
407,东莞银行,0
408,米牛股票,0
409,潮金投资,0
410,金投资,0
411,荷包金融（深圳）,0
412,荷包金融,1
413,荷包金融（粤）,0
414,荷包金融app,0
415,月光宝盒,1
416,宝盒,0
417,华融信托,1
418,华融信,0
419,财联社,0
420,QQ钱包,0
421,京东钱包,0
422,百度钱包,0
423,贷款超市,0
424,快易借,1
425,机有米,1
426,信贷导航,1
427,天天花,1
428,小肥羊,1
429,北京资易贷,1
430,华润银行,1
431,零用贷,0
432,????宜贷网,1
433,玛瑙湾,0
434,炒币,0
435,资邦,1
436,网筹金融,0
437,中弘股份,1
438,深交所,0
439,泛亚有色金属交易所股份有限公司,1
440,天浩稀贵金属股份有限公司,1
441,陕西金辉投资管理有限公司,1
442,金辉投资,0
443,泰融理财,0
444,济南农商银行,0
445,无忧车贷,0
446,深圳投资理财公司,0
447,众信,0
448,华融众信,1
449,天津源丰财富生活网络信息服务有限公司,1
450,e周行,1
451,天津渤海创投集团,1
452,渤海创投,1
453,超爱财,0
454,海钜信达,1
455,地浓金融,1
456,成都易捷,1
457,能贷,0
458,360金融（北京）,0
459,放心贷,0
460,360借条,1
461,晋商银行,1
462,嘉石榴,0
463,淘淘金,0
464,贝格富,1
465,长红配资,1
466,金斧子,0
467,金斧子配资,0
468,braintree,0
469,bluesnap,0
470,adyen,0
471,payment,0
472,易贷网,1
473,低息贷款,0
474,银信金服,1
475,银象网,0
476,生菜金融,1
477,奔跑财经,0
478,venmo,0
479,????小资钱包,1
480,财迷,0
481,财迷之家,0
482,银谷普惠,1
483,江苏联宝订单信息科技发展有限公司,1
484,“富仁金融”平台,1
485,富仁金融,1
486,浙江富仁控股有限公司,1
487,铜掌柜,1
488,靓钱宝,1
489,宁波软银,0
490,中环国际,1
491,钜宝盆,0
492,海投金融,0
493,贷款产品,0
494,京东金条,0
495,融车贷,0
496,魔袋金融,1
497,时时彩,1
498,有财运,0
499,恒富金融,1
500,钱眼金融,1
501,上海小吉科技,0
502,企鹅科技,0
503,杭州热店场,0
504,中国人民银行,0
505,上海大骏投资管理有限公司,1
506,山东肯雅隆股权投资基金管理有限公司,1
507,微金融,0
508,普惠金融,0
509,小微金融,0
510,金融业,0
511,百信银行,1
512,澳瑞克,1
513,FX,0
514,金蛐蛐,1
515,bmfn博美,1
516,东方财富网,0
517,网博,0
518,东方财富,0
519,bmfn,0
520,万盈金融,1
521,百合贷,1
522,小米金融,1
523,钱旺,1
524,悦花悦有,1
525,汇联金融,1
526,玖融网,1
527,春天金融,1
528,利利金服,1
529,聚车金融,0
530,荷包,1
531,我家贷,1
532,可信贷,1
533,攀枝花商业银行,0
534,码支付,0
535,聚合支付,0
536,朱雀投资,0
537,贷你盈,1
538,鼎盛财富,1
539,红金宝,1
540,金岩控股,0
541,浙江金岩控股集团有限公司,0
542,浙江金岩控股集团有限公司黑龙江分公司,1
543,浙江金岩控股集团,0
544,钱宝系,1
545,新华网,0
546,魔袋金融信息服务（上海）有限公司,1
547,谷歌,0
548,陆金所,1
549,上海宜贷网,1
550,巨石强森,0
551,浙江新奇世界影视文化投资有限公司,1
552,普银币,1
553,河北一卡通电子支付服务有限公司,0
554,河北一卡通,0
555,小智理财,1
556,人众金服,1
557,华阳金融,1
558,小狗钱钱,1
559,中国外汇交易中心,0
560,外汇交易中心,0
561,中国外汇,0
562,新时代,0
563,新丝路,0
564,夸克金融,1
565,农发行,0
566,农发行信宜市支行,0
567,拉卡拉收钱宝盒,0
568,拉卡拉超级收款宝,0
569,拉卡拉支付,0
570,阳光易贷公司,0
571,阳光易贷,0
572,恒大出资处理有限公司,0
573,助贷,1
574,成都农商银行,1
575,中邮消费金融,0
576,智汇魔方,0
577,卡拉卡,0
578,江西裕民银行,0
579,中邮消费金融公司,0
580,尚亿财富,1
581,尚亿,0
582,平安财富宝,1
583,黄河金融,0
584,佰仟金融,1
585,超额宝,1
586,卡卡贷,1
587,维信卡卡贷,0
588,贷款客,0
589,全球贷,0
590,IP贷,0
591,百度有钱花,1
592,威锯危来科技,1
593,支付宝借呗,1
594,腾讯微粒贷,1
595,快贷网,0
596,全通继教,1
597,????深圳市加财猫互联网金融信息服务有限公司,1
598,商户通,0
599,钱盒商户通,1
600,帮你还,1
601,加财猫,0
602,深圳市微米金融服务有限公司,1
603,光彩玖玖,1
604,远达财富,1
605,京银计划,0
606,海银国际,1
607,红小宝,0
608,澳银资本,0
609,如意岛,1
610,玖富集团,1
611,玖富钱包,1
612,投客,0
613,爱定投,1
614,浙江小融网络科技股份有限公司,1
615,有融网,1
616,万盛国际,1
617,英皇金融国际,0
618,投资宝,1
619,大连冠群驰骋公司,1
620,复华,1
621,金鹅宝,1
622,宜信财富,0
623,投米RA,0
624,联安贷,0
625,天狮集团,1
626,资易贷(北京）金融信息有限公司,1
627,北银创投,1
628,奇子向钱,0
629,鼎信,0
630,北京中融鼎信投资管理有限公司,1
631,鼎信投资,1
632,中融鼎信,0
633,瑞典巨头银瑞达公司,0
634,证通股份,0
635,首信易支付,0
636,平安付壹钱包,0
637,腾讯金融,0
638,云集品,1
639,TP,0
640,和诚德在线,1
641,和诚德,1
642,广发银行股份有限公司,0
643,广东发展银行股份有限公司,0
644,广发银行,1
645,京东白条闪付,0
646,广东发展银行,0
647,广发信用卡,0
648,中银基金,0
649,兴业银行,0
650,美的集团,0
651,神州长城,0
652,银河天成集团,0
653,华夏信,0
654,英皇金融,0
655,深圳平安大华汇通财富管理有限公司,0
656,深圳平安汇通投资管理有限公司,0
657,平安基金管理有限公司,0
658,平安普惠上海普陀分公司,1
659,fomo3d,0
660,贷金所,0
661,贷财行,1
662,荧兴源,1
663,深圳荧兴源资产管理集团,1
664,????荧兴源,1
665,浙财理财,0
666,来投,0
667,云金融,0
668,景云金融,0
669,空中金融,0
670,富富金融,1
671,工商行政管理,0
672,易资贷,1
673,财政惠农信贷通,0
674,一点成圆,0
675,亿富资本,0
676,股米网,1
677,浙商银行,0
678,轻纺城,0
679,保险知识,0
680,众投网,1
681,飞阳易贷,1
682,蚂蚁金融,0
683,链得得,0
684,德棉矿业,1
685,来借款,0
686,国信证券股份有限公司,0
687,金溢科技,0
688,友信普惠,1
689,宜信普惠（陕）,0
690,宜信普惠,1
691,大钱,0
692,TechWeb,0
693,区块链系统,0
694,XPay,0
695,BOXPassport,0
696,汉众投资集团,0
697,汉麻投资集团,0
698,美瑞健康国际,0
699,钱秘书,1
700,浙里投,0
701,易七金融,1
702,河南易七,0
703,易七,0
704,大家筹,0
705,北京资易贷金融信息服务有限公司（简称小资钱包）,1
706,联动优势,1
707,东方银座集团,1
708,环能国际控股,1
709,cp,0
710,多享金汇,0
711,金庞金融信息服务有限公司,1
712,雅堂集团,1
713,信信贷,0
714,中和农信,0
715,信贷员,0
716,创客,0
717,创客金融,1
718,上海易贷网金融信息公司（宜贷网）,1
719,亿百润,1
720,汇盈天下,1
721,汇业国际公司,1
722,长沙汇盈天下,0
723,票据理财,0
724,京东小金库,0
725,今日头条放心借,0
726,招联金融,0
727,微博借钱,1
728,长安责任保险,0
729,网易理财,0
730,易通商联支付,1
731,狼友,1
732,老虎,1
733,展博投资,0
734,中国财险,0
735,口岸惠民贷,0
736,二连浩特农村合作银行,0
737,盛付通,0
738,上海盛付通电子支付服务有限公司,1
739,（北京)资易贷金融信息服务有限公司,1
740,光大银行,0
741,阳光e微贷,0
742,嘉银金融,0
743,深圳惠卡世纪有限公司,1
744,光大证券,0
745,北京资易贷金融信息服务有限公司（小资钱包）,1
746,众惠相助,0
747,信美,0
748,京东互保,0
749,加加云购,0
750,微交易是什么,0
751,加加云购微交易,0
752,微交易平台,0
753,华融国际信托有限责任公司,1
754,中新房东方有限公司,0
755,搜贷天下,1
756,贷天下,0
757,搜贷,0
758,区块链媒体,0
759,屏南县农业银行,0
760,红村镇银行,0
761,中国人寿屏南县支公司,0
762,中南邮票交易,1
763,中南邮票交易中心,1
764,智佳金服,1
765,安捷财富,1
766,VIP投资,0
767,奇乐融,0
768,在线支付,0
769,云闪付,0
770,悦花越有,1
771,易捷公司,1
772,蚂蚁双链科技(上海)有限公司,0
773,杭州蚂蚁未来科技有限公司,0
774,蚂蚁区块链科技(上海)有限公司,0
775,建湖农商银行,0
776,京东支付,0
777,钱端,1
778,车商贷,1
779,融商贷,1
780,平安大华汇通财富管理有限公司,0
781,蜀桑源,1
782,金管家,0
783,惠众金管家,0
784,惠众收银,0
785,玺鉴金融,1
786,爱钱进,1
787,中腾信,1
788,凡普金科,1
789,钱站,1
790,点理财,0
791,招行,1
792,票据宝,1
793,珠江村镇银行,0
794,众聚盈,1
795,银魅财富,1
796,蚂蚁借呗,0
797,全球金融,0
798,草根,1
799,广州基金,0
800,京东众筹,0
801,爱其科技ONEBOT,0
802,改革牛,0
803,草根金融,1
804,融金宝,0
805,(北京)资易贷金融信息服务有限公司简称小资钱包,1
806,金贝壳,0
807,igofx,1
808,退休贷,0
809,米族金融,0
810,友友贷,1
811,友贷,0
812,民生银行,0
813,融桥,0
814,金融桥,1
815,现代金控,1
816,现代金控河南分公司,1
817,健康猫,1
818,OracleFX,1
819,复华集团,1
820,中国人保,0
